Weighted Pixel 0,Weighted Pixel 1,Weighted Pixel 2,Weighted Pixel 3,Weighted Pixel 4,Time
182.2258925573586,160.13948642691557,163.5384840629033,180.08168712812483,181.0144498246977,316.5
153.36537898427417,141.2164545527222,171.79799527197548,175.95193152358877,171.6682396674394,317.0
160.71630814385065,153.20672373034273,149.26452302913347,177.29312986078574,158.5193152358874,317.5
158.7741074426414,148.84134474606856,150.4423471100808,171.95193152358874,188.9902691776205,318.0
179.59127154163278,157.31259150554473,168.4615159370967,177.25479220675396,178.37982880897187,318.5
159.28369185614935,180.7788264449596,192.2403423820563,179.254792206754,158.4423471100808,319.0
189.95665052590695,169.20672373034273,148.85107556844804,173.63934001804404,177.3462101572583,319.5
174.85579457076622,160.9038630471775,165.29814168084704,195.86051357308443,198.08168712812483,320.0
168.37982880897187,145.26452302913344,172.0480684764113,201.87496339778212,204.43261628770134,320.5
146.36537898427417,133.9952809976818,167.96638134828643,208.6921274967735,172.9808311729841,321.0
180.62017119102816,173.19227390564504,156.83662574375035,173.1297556045361,176.22117355504042,321.5
184.9855501753023,169.3173105078629,161.83662574375035,188.4326162877013,189.42789728538312,322.0
144.37982880897184,151.7596576179437,177.2403423820563,180.65378984274173,155.96638134828643,322.5
167.43261628770134,150.63462101572583,140.2164545527222,168.72102714616886,157.9952809976818,323.0
166.4278972853831,154.26924203145165,155.3462101572583,179.447066112399,182.50958441350792,323.5
141.4278972853831,145.0914179505043,177.54320306522152,180.447066112399,155.49041558649208,324.0
170.79327626965727,173.30286068316522,167.85579457076622,170.4134474606854,169.63462101572583,324.5
153.0914179505043,166.28841085846753,166.49041558649205,172.82689492137087,166.30286068316522,325.0
172.79799527197548,148.7741074426414,148.52403423820562,154.95193152358874,165.95193152358874,325.5
139.29814168084704,127.96638134828642,143.2211735550404,169.30286068316522,175.21144273266094,326.0
181.97110035060464,158.39427863366956,155.96638134828643,173.62017119102816,184.04806847641123,326.5
148.8991440448593,156.63462101572586,176.7788264449596,187.3653789842742,183.3220295101811,327.0
182.19227390564504,156.50486541118974,157.37982880897187,175.47596576179436,192.44706611239897,327.5
173.17782408094735,159.93276269657287,169.87496339778212,169.84134474606853,168.17310507862913,328.0
161.0,165.28841085846753,153.88469422016158,166.4326162877013,156.39427863366953,328.5
142.58655253931457,151.08168712812486,149.9952809976818,171.4517851147172,144.8846942201616,329.0
149.75493861562552,164.7643766202619,172.47596576179438,178.74520779324604,181.25951120907217,329.5
