Time,Photons Emitted,Dark Molecule,Active Molecule,Triplet Molecule,Bleached Molecule
241.0,169,1,0,82,17
241.5,174,1,0,82,17
242.0,159,1,0,81,18
242.5,168,1,0,81,18
243.0,133,1,0,81,18
243.5,130,1,0,81,18
244.0,174,1,0,81,18
244.5,170,1,0,81,18
245.0,172,1,0,81,18
245.5,135,1,0,81,18
246.0,155,1,0,81,18
246.5,156,1,0,81,18
247.0,139,1,0,81,18
247.5,177,1,0,81,18
248.0,132,1,0,81,18
248.5,139,1,0,81,18
249.0,187,1,0,81,18
249.5,158,1,0,81,18
250.0,148,1,0,81,18
250.5,158,1,0,81,18
251.0,158,1,0,81,18
251.5,174,1,0,81,18
252.0,136,1,0,81,18
252.5,170,1,0,81,18
253.0,141,1,0,81,18
253.5,177,1,0,81,18
254.0,170,1,0,81,18
254.5,174,1,0,81,18
255.0,137,1,0,81,18
255.5,189,1,0,81,18
256.0,175,1,0,81,18
256.5,186,1,0,81,18
257.0,149,1,0,81,18
257.5,175,1,0,81,18
258.0,159,1,0,81,18
258.5,188,1,0,81,18
259.0,167,1,0,81,18
259.5,153,1,0,81,18
260.0,151,1,0,81,18
260.5,163,1,0,81,18
261.0,202,1,0,81,18
261.5,152,1,0,81,18
262.0,166,1,0,81,18
262.5,199,1,0,81,18
263.0,130,1,0,81,18
263.5,164,1,0,81,18
264.0,159,1,0,81,18
264.5,165,1,0,81,18
265.0,187,1,0,81,18
265.5,160,1,0,81,18
266.0,153,1,0,81,18
266.5,176,1,0,81,18
267.0,169,1,0,81,18
267.5,127,1,0,81,18
268.0,204,1,0,81,18
268.5,181,1,0,81,18
269.0,166,1,0,81,18
269.5,180,1,0,81,18
270.0,139,1,0,81,18
270.5,176,1,0,81,18
271.0,192,1,0,81,18
271.5,137,1,0,80,19
272.0,181,1,0,80,19
272.5,146,1,0,80,19
273.0,167,1,0,80,19
273.5,131,1,0,80,19
274.0,161,1,0,80,19
274.5,175,1,0,80,19
275.0,176,1,0,80,19
275.5,176,1,0,80,19
276.0,167,1,0,80,19
276.5,162,1,0,80,19
277.0,149,1,0,80,19
277.5,187,1,0,80,19
278.0,174,1,0,80,19
278.5,196,1,0,80,19
279.0,151,1,0,79,20
279.5,175,1,0,79,20
280.0,162,1,0,79,20
280.5,156,1,0,79,20
281.0,131,1,0,79,20
281.5,199,1,0,79,20
282.0,135,1,0,79,20
282.5,134,1,0,79,20
283.0,129,1,0,79,20
283.5,165,1,0,79,20
284.0,154,1,0,79,20
284.5,149,1,0,79,20
285.0,163,1,0,79,20
285.5,127,1,0,79,20
286.0,168,1,0,79,20
286.5,153,1,0,79,20
287.0,180,1,0,79,20
287.5,170,1,0,79,20
288.0,138,1,0,79,20
288.5,145,1,0,79,20
289.0,179,1,0,79,20
289.5,144,1,0,79,20
290.0,123,1,0,79,20
290.5,142,1,0,79,20
291.0,162,1,0,79,20
291.5,179,1,0,79,20
292.0,184,1,0,79,20
292.5,162,1,0,79,20
293.0,126,1,0,78,21
293.5,162,1,0,78,21
294.0,167,1,0,78,21
294.5,123,1,0,78,21
295.0,153,1,0,78,21
295.5,155,1,0,78,21
296.0,176,1,0,78,21
296.5,168,1,0,78,21
297.0,151,1,0,78,21
297.5,147,1,0,78,21
298.0,165,1,0,78,21
298.5,142,1,0,78,21
299.0,172,1,0,78,21
299.5,155,1,0,78,21
300.0,141,1,0,78,21
300.5,165,1,0,78,21
301.0,177,1,0,78,21
301.5,147,1,0,78,21
302.0,153,1,0,78,21
302.5,173,1,0,78,21
303.0,172,1,0,78,21
303.5,125,1,0,78,21
304.0,178,1,0,78,21
304.5,180,1,0,78,21
305.0,146,1,0,78,21
305.5,158,1,0,78,21
306.0,157,1,0,78,21
306.5,207,1,0,78,21
307.0,138,1,0,78,21
307.5,131,1,0,78,21
308.0,165,1,0,78,21
308.5,141,1,0,78,21
309.0,163,1,0,78,21
309.5,162,1,0,78,21
